age,pemean,semean,pemed,semed,pemean_fit,semean_fit,pemed_fit,semed_fit
25,31.5,41.4,26.9,25.6,32.5,41.3,29.3,25.9
26,34.9,38.7,30.1,25.9,34.8,42.3,30.5,26.5
27,37.6,47.6,31.7,24.6,36.9,43.2,31.6,27.1
28,39.3,42.3,33.5,31.4,38.9,44,32.7,27.7
29,40.5,54.5,34.6,30.3,40.8,44.7,33.7,28.2
30,42.2,41.7,35.5,27.7,42.6,45.4,34.6,28.6
31,44.1,45.5,36.4,28.8,44.2,46,35.5,29
32,46.1,45.8,37.2,28,45.7,46.5,36.3,29.4
33,47,46.6,37.6,31.7,47.2,47,37.1,29.7
34,47.4,44.9,37.7,30.2,48.5,47.4,37.9,30
35,51.3,44,39.2,30.2,49.7,47.7,38.5,30.2
36,50.9,48.9,39.2,31,50.8,48,39.2,30.4
37,52.8,46.2,40.3,28.9,51.8,48.3,39.8,30.6
38,53.7,48.6,40.3,31,52.7,48.5,40.3,30.7
39,53.5,46.6,40.3,29.6,53.5,48.7,40.8,30.8
40,53.7,50.2,40.3,30.6,54.3,48.9,41.2,30.9
41,55,47.6,41.4,29.6,54.9,49.1,41.6,31
42,55,48.7,41.4,30.6,55.5,49.2,41.9,31
43,55.7,47.2,41.4,29.6,56,49.3,42.2,31
44,56.3,50.6,41.8,31.9,56.4,49.4,42.5,31
45,56.4,48.4,42.3,29.6,56.8,49.4,42.7,30.9
46,56.9,50,42.3,30.6,57.1,49.5,42.9,30.8
47,56,53.9,42.4,31.9,57.3,49.6,43,30.8
48,57.2,50.8,42.6,30.6,57.5,49.6,43.1,30.7
49,56.8,50.6,42.5,31.1,57.7,49.7,43.1,30.5
50,57.5,51.3,42.7,31.5,57.7,49.8,43.1,30.4
51,57.6,54.4,42.8,31.3,57.8,49.9,43.1,30.3
52,57.9,53.8,43.5,33.9,57.8,50,43,30.1
53,58.2,50.2,43.7,30.3,57.7,50.2,42.9,30
54,57.9,51.9,42.8,31.8,57.6,50.4,42.7,29.8
55,58.4,52.8,43.7,29.7,57.5,50.6,42.6,29.6
56,58.2,52.7,42.5,29.2,57.4,50.8,42.3,29.5
57,57.6,49.6,43.6,30,57.2,51.1,42.1,29.3
58,58.8,48,43.2,27.1,57,51.4,41.8,29.1
59,57.1,47.8,41.9,27.5,56.8,51.8,41.5,29
60,55.7,46.6,41.4,26.1,56.6,52.2,41.2,28.8
61,56.3,47.8,40,25,56.4,52.7,40.8,28.7
62,54,53.9,40,27.6,56.2,53.3,40.4,28.5
63,56.2,45.1,39.5,29.6,55.9,53.9,40,28.4
64,56.3,54.4,38.9,29.1,55.7,54.6,39.5,28.3
65,55.4,69.3,38.8,30.9,55.5,55.3,39,28.2
