age,pemean,semean,pemed,semed,pemean_fit,semean_fit,pemed_fit,semed_fit
25,28.1,23.3,24.5,13.6,28.8,19.7,26.6,13.5
26,30.7,24.7,26.8,14,31.2,22.9,27.8,13.9
27,33.2,26.8,28.7,14.4,33.4,26.3,29,14.4
28,35.5,28.9,30.5,14.8,35.5,29.6,30.2,14.9
29,37.7,31.6,32,15.3,37.5,33.1,31.3,15.4
30,39.7,34.7,33.3,15.9,39.5,36.5,32.4,16
31,41.7,37.6,34.5,16.5,41.3,40,33.4,16.7
32,43.5,41,35.5,17.1,43,43.4,34.4,17.3
33,45.2,44.7,36.4,17.8,44.7,46.9,35.3,18
34,46.7,48.7,37.2,18.5,46.2,50.3,36.2,18.6
35,48.1,52.8,37.8,19.3,47.6,53.7,37,19.3
36,49.4,56.9,38.4,20.1,49,57.1,37.8,20
37,50.6,60.7,38.8,20.8,50.2,60.4,38.5,20.7
38,51.6,64.3,39.2,21.5,51.4,63.6,39.2,21.4
39,52.5,67.7,39.6,22.2,52.4,66.7,39.8,22
40,53.3,71,39.8,22.9,53.4,69.7,40.3,22.7
41,54,74,40.1,23.5,54.2,72.6,40.8,23.3
42,54.6,77,40.3,24.1,55,75.3,41.2,23.9
43,55.2,79.4,40.5,24.6,55.7,77.9,41.6,24.5
44,55.7,81.6,40.8,25.1,56.2,80.4,41.9,25
45,56.1,84,41,25.6,56.7,82.6,42.1,25.5
46,56.5,85.6,41.1,25.9,57.1,84.7,42.3,25.9
47,56.7,87.3,41.3,26.2,57.4,86.6,42.4,26.3
48,57,88.7,41.5,26.5,57.6,88.3,42.4,26.7
49,57.3,89.9,41.7,26.7,57.8,89.7,42.4,26.9
50,57.4,91,41.9,26.9,57.8,90.9,42.3,27.1
51,57.5,91.9,42,27,57.7,91.9,42.1,27.3
52,57.6,92.1,42,27.1,57.6,92.6,41.9,27.3
53,57.6,92.4,42.1,27.2,57.4,93,41.5,27.3
54,57.6,92.8,42,27.2,57.1,93.1,41.1,27.2
55,57.4,92.9,41.7,27,56.6,92.9,40.7,27
56,56.9,91.7,41.1,26.6,56.2,92.3,40.1,26.6
57,56.3,90.4,40.5,26.3,55.6,91.5,39.5,26.2
58,55.6,88.9,39.8,25.9,54.9,90.3,38.8,25.7
59,54.8,87,39,25.3,54.2,88.7,38,25.1
60,53.7,85.4,37.9,24.6,53.3,86.8,37.2,24.3
61,52.6,83,36.9,23.8,52.4,84.4,36.2,23.5
62,50.9,80.7,35,22.6,51.4,81.7,35.2,22.5
63,50.1,78.3,33.7,21,50.4,78.5,34.1,21.3
64,48.9,76.7,32.2,19.7,49.2,74.9,32.9,20.1
65,47.2,74.2,29.7,18.8,48,70.9,31.6,18.7
