age,p10,p25,p50,p75,p90,p10_fit,p25_fit,p50_fit,p75_fit,p90_fit
26,-46,-12.1,10.2,52.1,177.4,-44.6,-11.5,9.2,48.7,163.6
27,-47.9,-13.4,8.3,47,158.9,-46.3,-12.8,8.3,46.5,155.7
28,-48.6,-14.2,7,43.4,145.7,-47.8,-14,7.5,44.4,148.6
29,-48.7,-14.6,6.4,41.1,137.8,-49.1,-15.1,6.7,42.6,142.1
30,-49,-15.2,5.8,39.4,128.8,-50.3,-16,6,40.9,136.2
31,-49.6,-16,5.3,38,124.6,-51.2,-16.9,5.4,39.4,131
32,-50.6,-16.9,4.7,37.1,120.8,-52,-17.6,4.8,38,126.2
33,-51.7,-18.1,4.1,35.9,117.5,-52.6,-18.2,4.3,36.7,122.1
34,-52.9,-19.2,3.4,34.9,115.3,-53.1,-18.8,3.8,35.6,118.4
35,-53.4,-19.6,3.1,34.5,114.8,-53.5,-19.2,3.4,34.6,115.2
36,-53.6,-19.9,2.8,34,113.5,-53.8,-19.6,3,33.7,112.4
37,-53.6,-19.9,2.7,33.7,112.4,-54,-19.9,2.6,32.9,110.1
38,-53.8,-20.2,2.4,32.9,110.8,-54.1,-20.2,2.3,32.3,108.1
39,-54.1,-20.4,2.1,32.1,108.9,-54.2,-20.4,2.1,31.7,106.5
40,-54.1,-20.3,2,31.8,107.9,-54.2,-20.5,1.9,31.2,105.2
41,-54.4,-20.5,1.9,31.5,107.2,-54.2,-20.7,1.7,30.7,104.2
42,-54.4,-20.6,1.7,31.1,106.4,-54.2,-20.8,1.5,30.4,103.4
43,-54.6,-20.8,1.6,30.7,105.8,-54.2,-20.8,1.3,30.1,102.9
44,-54.9,-21,1.4,30.3,104.7,-54.2,-20.9,1.2,29.8,102.6
45,-55,-21,1.3,30.1,104.9,-54.2,-21,1.1,29.6,102.4
46,-55.1,-21.2,1.2,29.7,104.1,-54.3,-21,1,29.5,102.4
47,-55.3,-21.3,1,29.4,103.9,-54.4,-21.1,0.9,29.3,102.5
48,-55.5,-21.4,0.9,29.2,103.4,-54.6,-21.2,0.8,29.2,102.7
49,-55.7,-21.5,0.8,29,103.2,-54.9,-21.3,0.7,29.1,102.9
50,-56.2,-21.8,0.6,28.5,102.4,-55.3,-21.5,0.6,29,103.1
51,-56.2,-21.8,0.6,28.5,102.4,-55.7,-21.7,0.6,28.8,103.3
52,-57,-22.1,0.4,28.3,101.9,-56.4,-21.9,0.5,28.7,103.5
53,-57.3,-22.3,0.3,28.3,102.1,-57.1,-22.2,0.4,28.6,103.6
54,-57.9,-22.7,0.2,28.2,102,-58,-22.6,0.3,28.4,103.5
55,-58.9,-23.2,0,27.8,101.3,-59.1,-23,0.1,28.1,103.4
56,-60.6,-24.1,-0.4,27.1,100,-60.4,-23.6,0,27.9,103.1
57,-61.5,-24.4,-0.5,26.8,100,-61.9,-24.2,-0.2,27.6,102.6
58,-62.5,-24.8,-0.6,26.8,100,-63.6,-24.9,-0.4,27.2,101.8
59,-62.9,-24.6,-0.5,27.1,100.5,-65.5,-25.7,-0.6,26.7,100.8
60,-63.8,-24.7,-0.6,27.2,100.4,-67.7,-26.6,-0.8,26.2,99.5
61,-66.7,-25.7,-0.9,26.3,99.3,-70.1,-27.7,-1.1,25.6,97.9
62,-72.8,-29.1,-1.7,24.4,95.2,-72.8,-28.8,-1.5,24.9,96
63,-81.1,-32.9,-2.8,22.1,88.9,-75.8,-30.2,-1.8,24.1,93.6
64,-79.8,-31.1,-1.8,23.6,94.2,-79.1,-31.6,-2.2,23.2,90.9
65,-83.5,-33.7,-2.1,23.6,92.3,-82.6,-33.2,-2.7,22.1,87.7
