age,entry,entry.PE2SE,entry.NE2SE,exit,exit.SE2PE,exit.SE2NE,entry_fit,entry.PE2SE_fit,entry.NE2SE_fit,exit_fit,exit.SE2PE_fit,exit.SE2NE_fit
26,1.49,1.11,2.57,38.95,23.31,15.64,1.51,1.12,2.62,38.45,23.18,15.27
27,1.59,1.2,2.73,37.35,22.3,15.05,1.63,1.24,2.76,36.78,22.1,14.69
28,1.71,1.31,2.89,35.59,21.24,14.36,1.74,1.34,2.9,35.21,21.08,14.13
29,1.83,1.43,3.05,33.66,20,13.66,1.84,1.43,3.05,33.72,20.13,13.59
30,1.93,1.51,3.24,31.92,19.02,12.9,1.93,1.51,3.2,32.31,19.24,13.07
31,2.01,1.58,3.42,30.71,18.32,12.39,2.01,1.57,3.36,30.99,18.41,12.57
32,2.09,1.64,3.57,29.45,17.58,11.87,2.08,1.63,3.52,29.74,17.64,12.1
33,2.17,1.7,3.72,28.13,16.86,11.28,2.13,1.67,3.69,28.57,16.92,11.66
34,2.23,1.74,3.86,26.99,16.14,10.86,2.18,1.71,3.85,27.48,16.24,11.23
35,2.28,1.77,4.05,25.92,15.45,10.47,2.23,1.73,4.02,26.46,15.62,10.84
36,2.3,1.78,4.2,25.04,14.92,10.12,2.26,1.75,4.19,25.51,15.04,10.47
37,2.32,1.78,4.35,24.29,14.46,9.82,2.29,1.76,4.35,24.63,14.5,10.13
38,2.33,1.78,4.51,23.57,13.97,9.59,2.31,1.76,4.51,23.82,14.01,9.82
39,2.34,1.76,4.68,22.98,13.58,9.4,2.32,1.76,4.66,23.08,13.55,9.53
40,2.34,1.75,4.81,22.48,13.2,9.28,2.33,1.75,4.81,22.39,13.12,9.27
41,2.32,1.72,4.9,21.99,12.86,9.13,2.33,1.74,4.95,21.77,12.73,9.05
42,2.31,1.7,5.02,21.47,12.47,9,2.33,1.72,5.08,21.21,12.36,8.85
43,2.29,1.66,5.1,21.04,12.11,8.93,2.32,1.7,5.2,20.71,12.02,8.69
44,2.28,1.64,5.23,20.66,11.81,8.85,2.31,1.67,5.31,20.26,11.7,8.56
45,2.25,1.6,5.32,20.32,11.5,8.82,2.3,1.64,5.41,19.87,11.41,8.46
46,2.24,1.57,5.43,19.99,11.23,8.76,2.29,1.61,5.49,19.53,11.13,8.4
47,2.22,1.55,5.52,19.73,10.95,8.78,2.27,1.58,5.56,19.24,10.87,8.37
48,2.2,1.52,5.59,19.45,10.69,8.76,2.25,1.55,5.61,19,10.62,8.37
49,2.19,1.5,5.69,19.22,10.43,8.79,2.23,1.52,5.65,18.8,10.39,8.41
50,2.18,1.48,5.74,19.07,10.2,8.87,2.2,1.48,5.67,18.64,10.16,8.49
51,2.18,1.47,5.8,18.87,9.96,8.91,2.18,1.45,5.67,18.53,9.93,8.6
52,2.15,1.43,5.75,18.67,9.67,8.99,2.16,1.43,5.64,18.46,9.71,8.76
53,2.13,1.4,5.69,18.49,9.45,9.04,2.14,1.4,5.6,18.43,9.48,8.95
54,2.11,1.38,5.6,18.32,9.14,9.18,2.12,1.38,5.53,18.43,9.25,9.18
55,2.1,1.37,5.5,18.25,8.96,9.29,2.1,1.36,5.44,18.47,9.02,9.45
56,2.12,1.39,5.36,18.11,8.63,9.48,2.08,1.35,5.32,18.54,8.78,9.76
57,2.11,1.37,5.14,18.12,8.44,9.68,2.07,1.34,5.18,18.63,8.53,10.11
58,2.1,1.36,4.93,18.17,8.21,9.96,2.06,1.34,5.01,18.76,8.26,10.5
59,2.11,1.36,4.74,18.08,7.89,10.19,2.05,1.34,4.81,18.92,7.97,10.94
60,2.1,1.36,4.53,18.24,7.64,10.6,2.05,1.35,4.57,19.09,7.67,11.42
61,2.11,1.39,4.3,18.51,7.32,11.18,2.05,1.37,4.31,19.29,7.35,11.95
62,2.07,1.39,3.91,19.48,7.02,12.45,2.06,1.4,4.01,19.51,7,12.52
63,2.09,1.49,3.59,20.25,6.58,13.67,2.07,1.43,3.68,19.75,6.62,13.13
64,2.05,1.47,3.28,20.34,6.25,14.09,2.09,1.48,3.32,20.01,6.21,13.79
65,2,1.45,3.11,21.45,5.97,15.48,2.12,1.54,2.91,20.28,5.77,14.5
