year,entry,entry.PE2SE,entry.NE2SE,exit,exit.SE2PE,exit.SE2NE,entry_fit,entry.PE2SE_fit,entry.NE2SE_fit,exit_fit,exit.SE2PE_fit,exit.SE2NE_fit
2001,1.84,1.4,3.74,22.71,12.98,9.73,1.87,1.47,3.58,21.31,12.07,9.24
2002,1.96,1.52,3.9,20.98,11.31,9.67,1.96,1.5,3.95,21.92,12.27,9.65
2003,1.97,1.46,4.12,21.8,11.73,10.07,2.04,1.53,4.26,22.45,12.44,10.01
2004,2.13,1.56,4.44,22.07,12.16,9.91,2.1,1.55,4.52,22.89,12.57,10.33
2005,2.21,1.63,4.65,24.05,13.97,10.09,2.15,1.56,4.73,23.26,12.66,10.6
2006,2.39,1.81,4.89,23.14,12.75,10.39,2.19,1.57,4.88,23.54,12.72,10.82
2007,2.22,1.58,5.06,23.26,12.79,10.47,2.22,1.57,4.97,23.73,12.74,11
2008,2.12,1.49,5,24.53,13.03,11.5,2.24,1.57,5.02,23.85,12.72,11.13
2009,2.22,1.51,5.36,24.19,12.2,12,2.24,1.56,5,23.88,12.68,11.21
2010,2.22,1.47,5.02,24.44,12.77,11.67,2.23,1.55,4.94,23.84,12.59,11.24
2011,2.23,1.52,4.72,24.02,12.4,11.61,2.21,1.53,4.82,23.7,12.47,11.23
2012,2.1,1.42,4.4,23.15,12.1,11.04,2.18,1.51,4.64,23.49,12.32,11.18
2013,2.09,1.44,4.27,22.78,12.07,10.71,2.14,1.48,4.41,23.19,12.12,11.07
2014,2.15,1.53,4.19,22.58,11.71,10.87,2.08,1.45,4.13,22.82,11.9,10.92
2015,2.04,1.47,3.89,22.52,11.92,10.6,2.01,1.41,3.79,22.36,11.63,10.72
