Row,Label,Column1,Column2,Column3,Column4,Column5
0,variable,CPS1,CPS2,IRS1,IRS2,IRS3
1,N_person_years,1253.7,1200.2,1694.4,950.8,940.9
2,ave.tot_inc,54.3,52.6,50.1,57.1,56.4
3,p10.tot_inc,14.8,14.6,12.2,14,14
4,p25.tot_inc,24.8,24.6,21.9,24.8,24.8
5,p50.tot_inc,40.7,40.3,37.2,41.5,41.4
6,p75.tot_inc,64,63.2,59.3,65.6,65.3
7,p90.tot_inc,98.7,96,90.8,100.9,100.1
8,ave.se_inc,0.2,0.2,0.3,0.4,0.2
9,p10.se_inc,0,0,0,0,0
10,p25.se_inc,0,0,0,0,0
11,p50.se_inc,0,0,0,0,0
12,p75.se_inc,0,0,0,0,0
13,p90.se_inc,0,0,0,0,0
14,college,45,44.5,0,56.6,56.4
15,ind1,31,31,31,31,31
16,ind2,62,62,44,54,54
17,ind3,44,44,54,44,44
18,ind4,61,61,23,23,23
19,ind5,23,92,62,62,62
20,male,53,52.1,51.7,51.1,50.8
21,married,67.1,66.4,55.9,62.7,62.5
22,yob,1963,1963,1964,1963,1963
