Row,Label,Column1,Column2,Column3
0,Variables,Age,SE,PE
1,Age1,26,5242,3211
2,Age2,27,5405,2957
3,Age3,28,5189,2712
4,Age4,29,5000,2498
5,Age5,30,4990,2286
6,Age6,31,4552,2185
7,Age7,32,4910,2081
8,Age8,33,5142,2037
9,Age9,34,5060,1858
10,Age10,35,4603,1689
11,Age11,36,4218,1536
12,Age12,37,3939,1412
13,Age13,38,3750,1281
14,Age14,39,3743,1228
15,Age15,40,3538,1171
16,Age16,41,3220,1024
17,Age17,42,2542,921
18,Age18,43,2862,735
19,Age19,44,1417,602
20,Age20,45,1744,461
21,Age21,46,744,292
22,Age22,47,894,194
23,Age23,48,685,70
24,Age24,49,775,-17
25,Age25,50,26,-316
26,Age26,51,148,-426
27,Age27,52,-666,-532
28,Age28,53,-1000,-563
29,Age29,54,-1165,-833
30,Age30,55,-1432,-692
31,Age31,56,-2042,-1202
32,Age32,57,-3443,-1377
33,Age33,58,-2786,-1482
34,Age34,59,-3517,-1737
35,Age35,60,-4632,-2361
36,Age36,61,-4154,-3169
37,Age37,62,-6410,-4239
38,Age38,63,-6510,-5786
39,Age39,64,-7449,-4871
40,Age40,65,-8145,-5464
41,Year1,2001,1353,721
42,Year2,2002,-686,255
43,Year3,2003,7341,895
44,Year4,2004,-775,1322
45,Year5,2005,5416,1055
46,Year6,2006,3857,1575
47,Year7,2007,-1528,1758
48,Year8,2008,-9655,-373
49,Year9,2009,-8785,-1583
50,Year10,2010,1661,883
51,Year11,2011,2245,667
52,Year12,2012,10306,672
53,Year13,2013,-2846,-188
54,Year14,2014,4579,1123
55,Year15,2015,3939,1416
