Row,Label,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
0,age,p10,p25,p50,p75,p90,p10_fit,p25_fit,p50_fit,p75_fit,p90_fit
1,26,-45.8,-19.2,-3.6,17.4,73.5,-39.3,-16.4,-3.4,15.1,65.7
2,27,-42.3,-16.8,-2.6,15.4,64.2,-39.3,-16,-3,14.6,62.1
3,28,-39.7,-15.3,-2.3,14,57.9,-39,-15.6,-2.6,14.2,58.6
4,29,-37.7,-14.5,-2.2,13,53.3,-38.5,-15.1,-2.3,13.7,55.3
5,30,-35.5,-13.8,-2.1,12.4,49.5,-37.8,-14.7,-2,13.3,52.2
6,31,-34,-13.3,-2.1,11.8,46,-37,-14.2,-1.8,12.8,49.3
7,32,-32.6,-12.8,-1.9,11.4,43.2,-36.1,-13.7,-1.6,12.3,46.6
8,33,-31.5,-12.3,-1.8,10.9,41,-35,-13.2,-1.5,11.9,44
9,34,-30.7,-11.8,-1.4,10.9,39.1,-33.8,-12.7,-1.3,11.4,41.6
10,35,-30,-11.4,-1.3,10.5,37.6,-32.6,-12.2,-1.2,11,39.4
11,36,-28.9,-11,-1.3,10.1,36.2,-31.3,-11.7,-1.2,10.5,37.4
12,37,-28.1,-10.6,-1.3,9.8,35,-30,-11.2,-1.1,10.1,35.6
13,38,-27.3,-10.1,-1.1,9.6,33.9,-28.7,-10.7,-1.1,9.7,33.9
14,39,-27,-9.9,-1.1,9.4,33,-27.3,-10.2,-1,9.3,32.3
15,40,-26.6,-9.7,-1,9.2,32,-26,-9.7,-1,9,30.9
16,41,-25.9,-9.5,-1,9,31.3,-24.8,-9.3,-1,8.7,29.7
17,42,-25.5,-9.3,-0.9,8.9,30.5,-23.6,-8.9,-1,8.4,28.6
18,43,-24.8,-9,-0.8,8.8,29.9,-22.6,-8.5,-1,8.1,27.7
19,44,-24.5,-8.8,-0.8,8.7,29.2,-21.6,-8.1,-0.9,7.9,26.9
20,45,-24,-8.6,-0.6,8.6,28.7,-20.8,-7.7,-0.9,7.8,26.3
21,46,-23.4,-8.3,-0.6,8.5,28.1,-20.1,-7.4,-0.8,7.7,25.8
22,47,-23.1,-8.1,-0.5,8.4,27.6,-19.6,-7.1,-0.7,7.6,25.4
23,48,-22.8,-7.9,-0.4,8.3,27.1,-19.3,-6.9,-0.6,7.6,25.2
24,49,-22.6,-7.8,-0.3,8.2,26.6,-19.2,-6.6,-0.5,7.6,25.1
25,50,-22.2,-7.4,0,8.3,26.5,-19.4,-6.5,-0.3,7.7,25.1
26,51,-22.2,-7.3,0.1,8.3,26.1,-19.8,-6.3,-0.1,7.9,25.2
27,52,-22,-7.1,0.2,8.3,25.8,-20.5,-6.3,0.2,8.2,25.5
28,53,-22.3,-7,0.3,8.2,25.2,-21.5,-6.2,0.5,8.5,25.8
29,54,-21.8,-6.6,0.6,8.5,25.4,-22.8,-6.3,0.8,8.9,26.3
30,55,-22.8,-6.7,0.8,8.5,24.8,-24.5,-6.4,1.2,9.3,26.9
31,56,-23.6,-5.9,1.6,9.4,25.5,-26.5,-6.5,1.7,9.9,27.6
32,57,-24.1,-5.6,2,9.7,25.9,-28.9,-6.7,2.2,10.5,28.4
33,58,-25,-5.4,2.3,9.9,26.1,-31.7,-7,2.8,11.3,29.3
34,59,-26.9,-5.2,2.7,10.4,26.6,-34.9,-7.4,3.4,12.1,30.3
35,60,-31.1,-5.1,3.5,11.2,27.7,-38.6,-7.8,4.1,13,31.4
36,61,-38.5,-4.7,4.9,13.3,30.4,-42.7,-8.3,4.9,14,32.5
37,62,-48.3,-7,6.5,15.8,33.6,-47.4,-8.8,5.8,15.1,33.8
38,63,-63.3,-11.5,8.8,19.5,39.1,-52.5,-9.5,6.8,16.3,35.1
39,64,-64.2,-10.3,7.5,17.6,38.1,-58.2,-10.2,7.8,17.7,36.6
40,65,-65.1,-16,8.2,19.6,42.2,-64.4,-11.1,9,19.1,38.1
