Row,Label,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
0,age,p10,p25,p50,p75,p90,p10_fit,p25_fit,p50_fit,p75_fit,p90_fit
1,26,-71.4,-32.1,-4.5,30.3,129.2,-68.8,-31.1,-4.9,28.4,121.4
2,27,-69.8,-31.5,-4.1,29.5,121.6,-69,-31.3,-4.8,28,118
3,28,-68.8,-30.9,-4.5,27.6,113.6,-69.1,-31.5,-4.7,27.7,114.9
4,29,-68.8,-31.3,-5.2,25.9,108.6,-69.2,-31.6,-4.6,27.5,112.2
5,30,-68.9,-31.6,-5.3,25.1,102.9,-69.3,-31.6,-4.5,27.3,109.8
6,31,-66.8,-30.8,-4.6,25.7,102.7,-69.2,-31.6,-4.4,27.2,107.8
7,32,-67.9,-31.6,-4.9,25.7,101.9,-69.1,-31.6,-4.2,27.1,106.1
8,33,-68.1,-31.4,-4.1,27.2,102.7,-69,-31.5,-4.1,27.1,104.7
9,34,-68.4,-31.4,-4,27.6,103.6,-68.9,-31.4,-4,27.1,103.6
10,35,-68.1,-30.9,-3.4,28.3,104.6,-68.7,-31.3,-3.8,27.2,102.7
11,36,-67.9,-30.9,-3.4,28.5,105.1,-68.5,-31.1,-3.7,27.3,102.1
12,37,-68.7,-31.1,-3.5,28,103.6,-68.3,-30.9,-3.5,27.4,101.7
13,38,-67.7,-30.4,-3.2,28.1,103.8,-68,-30.6,-3.3,27.6,101.5
14,39,-67.9,-30.4,-3.1,27.9,102.7,-67.8,-30.4,-3.1,27.8,101.5
15,40,-68,-30.1,-2.8,28,102.3,-67.5,-30.1,-3,28,101.7
16,41,-67.6,-29.9,-2.9,28,102.2,-67.3,-29.9,-2.8,28.2,102
17,42,-67,-29.3,-2.5,28.8,104.1,-67.1,-29.6,-2.6,28.5,102.5
18,43,-68.3,-29.8,-2.7,28.1,102.3,-66.9,-29.3,-2.4,28.8,103.2
19,44,-67.3,-28.9,-1.8,29.5,104.6,-66.7,-29,-2.2,29.1,103.9
20,45,-68,-29.2,-2,29.3,105.4,-66.5,-28.7,-2,29.5,104.7
21,46,-67,-28.4,-1.3,30.3,107.2,-66.4,-28.4,-1.7,29.8,105.7
22,47,-67.1,-28.3,-1.3,30.1,106.8,-66.4,-28.2,-1.5,30.2,106.6
23,48,-66.8,-28.1,-1.2,30.6,108.1,-66.3,-27.9,-1.3,30.6,107.6
24,49,-67.8,-28.5,-1.3,30.3,107.5,-66.4,-27.7,-1.1,30.9,108.7
25,50,-66.7,-27.7,-0.9,31.3,110.1,-66.5,-27.5,-0.8,31.3,109.7
26,51,-67.6,-28,-0.8,31.2,109.6,-66.6,-27.3,-0.6,31.7,110.8
27,52,-67.2,-27.4,-0.3,32.2,111.9,-66.9,-27.2,-0.3,32.1,111.8
28,53,-67.7,-27.6,-0.5,32.3,112.2,-67.2,-27.1,-0.1,32.5,112.8
29,54,-66.4,-26.7,0.4,33.6,114.4,-67.6,-27,0.2,32.9,113.7
30,55,-67.1,-26.9,0.2,33,113.3,-68.1,-27,0.4,33.3,114.5
31,56,-66.7,-26.2,1.1,34.6,116,-68.7,-27,0.7,33.7,115.3
32,57,-65.8,-25,2.2,36.5,120.2,-69.4,-27.1,1,34.1,115.9
33,58,-68,-26.1,1.6,35.6,118,-70.2,-27.2,1.2,34.4,116.5
34,59,-69.9,-26.8,1.2,34.4,116.8,-71.2,-27.4,1.5,34.8,116.8
35,60,-73.4,-28.2,0.7,32.7,112.3,-72.2,-27.6,1.8,35.1,117.1
36,61,-75.3,-28.7,0.5,31.9,110,-73.4,-27.9,2.1,35.4,117.1
37,62,-76.8,-29.7,1.6,33.7,111.7,-74.7,-28.3,2.3,35.7,117
38,63,-75.5,-28.1,4,37.9,119.5,-76.2,-28.8,2.6,36,116.6
39,64,-78.4,-28.9,3.4,36.5,116.5,-77.8,-29.3,2.9,36.3,116
40,65,-79.8,-30.5,3.5,38.4,121.5,-79.5,-29.9,3.2,36.5,115.2
