Row,Label,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
0,Variables,Age30,Age31,Age32,Age33,Age34,Age35,Age36,Age37,Age38,Age39,Age40,Age41,Age42,Age43,Age44,Age45,Age46,Age47,Age48,Age49,Age50,Age51,Age52,Age53,Age54,Age55
1,TSE,-0.15,-0.16,-0.17,-0.17,-0.17,-0.18,-0.18,-0.19,-0.19,-0.19,-0.19,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.21,-0.21,-0.2,-0.2,-0.2
2,TSEMen,-0.15,-0.16,-0.17,-0.17,-0.17,-0.18,-0.18,-0.19,-0.19,-0.19,-0.2,-0.2,-0.2,-0.2,-0.2,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21
3,TSEWomen,-0.15,-0.16,-0.17,-0.17,-0.17,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.19,-0.18,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19
4,TSEMarr,-0.14,-0.15,-0.16,-0.16,-0.17,-0.18,-0.18,-0.19,-0.19,-0.19,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21
5,TSENMarr,-0.17,-0.17,-0.18,-0.18,-0.18,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.2,-0.2,-0.19,-0.2,-0.19,-0.19,-0.19,-0.19,-0.2,-0.19
6,TSEColl,-0.13,-0.14,-0.15,-0.15,-0.15,-0.16,-0.17,-0.17,-0.18,-0.18,-0.18,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
7,TSENColl,-0.2,-0.21,-0.21,-0.21,-0.21,-0.21,-0.22,-0.21,-0.22,-0.21,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22
8,TSECogn,-0.15,-0.16,-0.17,-0.17,-0.17,-0.18,-0.18,-0.19,-0.19,-0.19,-0.2,-0.2,-0.2,-0.2,-0.2,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21
9,TSENCogn,-0.15,-0.16,-0.17,-0.17,-0.18,-0.18,-0.18,-0.19,-0.18,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
10,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
11,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12,TSEManu,-0.19,-0.2,-0.2,-0.2,-0.21,-0.21,-0.21,-0.21,-0.22,-0.21,-0.21,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22
13,TSENManu,-0.13,-0.14,-0.15,-0.15,-0.15,-0.16,-0.17,-0.17,-0.17,-0.18,-0.18,-0.18,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
14,TSEAgri,-0.22,-0.23,-0.23,-0.23,-0.22,-0.24,-0.25,-0.24,-0.26,-0.25,-0.26,-0.25,-0.25,-0.27,-0.26,-0.26,-0.26,-0.28,-0.26,-0.27,-0.27,-0.27,-0.27,-0.26,-0.27,-0.27
15,TSECons,-0.21,-0.22,-0.22,-0.22,-0.22,-0.23,-0.24,-0.23,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.26,-0.26,-0.26,-0.25,-0.26
