Row,Label,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
0,Variables,Age30,Age31,Age32,Age33,Age34,Age35,Age36,Age37,Age38,Age39,Age40,Age41,Age42,Age43,Age44,Age45,Age46,Age47,Age48,Age49,Age50,Age51,Age52,Age53,Age54,Age55
1,TSE,5.8,5.3,4.7,4.1,3.4,3.1,2.8,2.7,2.4,2.1,2,1.9,1.7,1.6,1.4,1.3,1.2,1,0.9,0.8,0.6,0.6,0.4,0.3,0.2,0
2,TSEMen,6,5.5,4.9,4.2,3.6,3.3,3,2.8,2.5,2.2,2.2,2,1.8,1.6,1.4,1.3,1.2,1,0.9,0.8,0.5,0.6,0.4,0.3,0.2,-0.1
3,TSEWomen,5.2,4.6,4.1,3.5,3,2.8,2.4,2.3,2,1.7,1.7,1.6,1.6,1.5,1.4,1.3,1.2,1.1,1,1,0.7,0.7,0.5,0.3,0.3,0
4,TSEMarr,6.2,5.7,5.1,4.5,3.9,3.6,3.3,3.1,2.8,2.5,2.4,2.2,2,1.8,1.6,1.6,1.4,1.2,1.2,1,0.7,0.7,0.6,0.4,0.3,0.1
5,TSENMarr,5,4.4,3.7,3.1,2.3,2.1,1.8,1.7,1.5,1.2,1.2,1.1,1.1,0.9,0.7,0.6,0.6,0.4,0.3,0.3,0.2,0.2,0.1,-0.1,-0.2,-0.4
6,TSEColl,7,6.4,5.9,5.2,4.6,4.2,3.9,3.7,3.3,3,2.9,2.7,2.5,2.3,2.1,2.1,1.9,1.7,1.6,1.5,1.1,1.2,1,0.7,0.6,0.4
7,TSENColl,3.7,3.2,2.7,2.1,1.5,1.4,1.2,1.1,1.1,0.8,0.8,0.7,0.6,0.5,0.3,0.3,0.2,0,0,-0.1,-0.2,-0.3,-0.4,-0.4,-0.6,-0.8
8,TSECogn,5.8,5.3,4.8,4.1,3.5,3.2,2.9,2.8,2.4,2.2,2.1,1.9,1.8,1.6,1.5,1.4,1.2,1.1,1,0.9,0.6,0.7,0.5,0.4,0.3,0.1
9,TSENCogn,5.8,5.2,4.5,3.9,3.4,3,2.8,2.5,2.3,1.9,1.9,1.8,1.7,1.5,1.3,1.2,1.1,0.9,0.8,0.7,0.5,0.5,0.4,0.2,0,-0.2
10,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
11,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12,TSEManu,4.3,3.8,3.1,2.6,2,1.8,1.6,1.5,1.4,1.3,1.2,1.1,1,0.9,0.7,0.6,0.5,0.4,0.4,0.3,0.1,0.1,-0.1,-0.1,-0.2,-0.5
13,TSENManu,6.7,6.2,5.7,5,4.4,4,3.6,3.4,3,2.6,2.6,2.4,2.2,2,1.8,1.7,1.6,1.4,1.3,1.2,0.8,0.9,0.7,0.5,0.4,0.2
14,TSEAgri,3.1,3,3.6,2.8,1.9,2.3,2.6,2.6,2.1,1.8,1.8,1.3,1.7,1.6,1.7,1.3,1.2,1.1,1.2,1.2,1.3,1.1,0.7,0.9,0.9,0.8
15,TSECons,4.4,4.1,3.5,2.7,2.1,1.8,1.6,1.6,1.7,1.5,1.6,1.4,1.3,1.2,1,1,0.7,0.6,0.6,0.5,0.2,0.4,0.1,0.2,0.1,-0.1
16,TSEManf,4.5,4.1,3.5,3.1,2.4,2.3,2.2,2.1,2,1.9,1.9,1.8,1.7,1.6,1.5,1.5,1.6,1.2,1.2,1.1,0.7,0.7,0.7,0.9,0.7,0.5
17,TSEWhol,6.3,5.4,5.2,4.5,3.8,3.3,3.1,3,2.7,2.6,2.3,2.1,2,1.6,1.7,1.7,1.1,1.2,1.3,1,0.8,0.6,0.8,0.5,0.5,0.3
18,TSEReta,4.9,4.3,3.8,3.2,2.6,2.4,2.3,2.2,2,1.8,1.7,1.6,1.4,1.2,1.1,1.1,1,0.9,0.6,0.7,0.4,0.5,0.3,0.2,0.2,0
19,TSETran,4.1,3.6,2.8,2.6,2,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.3,1.2,1,0.9,0.9,0.8,0.8,0.7,0.6,0.4,0.3,0.4,0.3,0
20,TSEInfo,5.7,5,4.8,4.6,3.4,3.2,3.3,2.8,2.2,2,1.9,2,1.8,1.4,1.2,1.4,0.9,1,0.9,0.7,0.3,0.3,0.2,0.1,-0.1,-0.4
21,TSEFina,8.8,8.3,7.3,5.9,5.7,5.4,4.8,4.8,4.2,3.8,4,3.7,3.4,3,2.6,2.6,2.5,2.4,2.2,1.9,1.4,1.7,1.2,0.9,0.6,0.5
22,TSEReal,7.6,6.1,5,3.5,3.5,2.9,2.4,2.7,2.7,2.4,2.7,2.4,2.4,2.2,1.9,1.9,1.4,1.5,1.3,1.4,0.9,1.1,1,0.4,0.2,-0.2
23,TSEProf,7.3,6.7,6.2,5.6,4.8,4.5,4.2,4.1,3.5,3.2,3.2,3,2.8,2.5,2.3,2.2,2.1,1.7,1.7,1.5,1.1,1.2,1,0.7,0.6,0.3
24,TSEAdmi,5,4.5,3.6,3.5,2.6,2.4,2.1,2,1.7,1.3,1.4,1.2,1,1.1,0.8,0.8,0.8,0.4,0.3,0.3,0.2,0.2,0,-0.1,-0.3,-0.5
25,TSEHcare,10,9.1,8.5,8,7.2,6.1,5.2,4.3,3.7,2.9,2.5,2.2,1.9,1.7,1.4,1.2,1.1,0.9,0.7,0.5,0.2,0.2,-0.1,-0.4,-0.4,-0.8
26,TSEArts,5.9,5.6,4.2,3.7,3.1,3.4,3.1,2.7,2.1,2,2.2,1.9,1.9,1.1,1.2,1.1,1.1,0.9,0.7,0.8,0.3,0.4,0.3,0.3,0,-0.3
27,TSEAcco,5.4,4.8,4.2,3.2,3,2.6,2.7,2.6,2.2,2.1,2.2,2,2,1.9,1.7,1.7,1.5,1.3,1.3,1.2,1,1.1,1.3,1,1.2,1.1
28,TSEOserv,3.8,3.5,3,2.4,2.2,2,1.7,1.5,1.4,1.1,1,1,0.8,0.7,0.5,0.4,0.4,0.2,0.2,0.1,-0.1,-0.2,-0.2,-0.3,-0.5,-0.5
29,PSE,7.1,6.5,5.8,5,4.4,4.1,3.6,3.3,2.8,2.5,2.3,2.1,1.9,1.7,1.4,1.4,1.2,1,0.9,0.8,0.5,0.6,0.4,0.2,0,-0.3
30,PSEMen,7.8,7.2,6.3,5.5,4.7,4.4,3.9,3.5,3,2.7,2.5,2.3,2,1.8,1.5,1.4,1.3,1,1,0.8,0.6,0.6,0.4,0.2,0.1,-0.3
31,PSEWomen,4.8,4.4,4.1,3.5,3.2,3,2.6,2.4,2,1.7,1.7,1.6,1.5,1.3,1.2,1.1,1,0.9,0.8,0.6,0.4,0.6,0.3,0.1,0,-0.3
32,PSEMarr,8.2,7.6,6.9,5.9,5.2,4.8,4.3,3.9,3.3,2.9,2.8,2.5,2.2,2,1.7,1.7,1.5,1.2,1.2,1,0.7,0.8,0.5,0.3,0.2,-0.1
33,PSENMarr,4.8,4.2,3.5,3,2.5,2.4,2.1,1.9,1.5,1.3,1.2,1.1,1,0.8,0.6,0.5,0.5,0.3,0.2,0.1,0,0,-0.1,-0.3,-0.5,-0.7
34,PSEColl,9.6,8.8,8.2,7.1,6.3,5.8,5.2,4.8,4.1,3.7,3.5,3.3,2.9,2.6,2.4,2.3,2.1,1.9,1.7,1.6,1.2,1.3,1,0.7,0.6,0.2
35,PSENColl,4.5,4,3.3,2.7,2.3,2.1,1.9,1.6,1.3,1.1,1,0.8,0.6,0.5,0.3,0.2,0.1,-0.2,-0.1,-0.3,-0.4,-0.4,-0.6,-0.7,-0.9,-1.1
