Row,Label,Column1,Column2,Column3,Column4
0,variable,Totsamp,SE,PE,NE
1,N,1279.9,107.6,940.9,231.4
2,share_N,100,8.4,73.5,18.1
3,share_mean_total.income,100,15.2,84.6,0.2
4,share_mean_SE.income,100,97.4,2.4,0.2
5,share_mean_PE.income,100,2.7,97.1,0.2
6,mean_total.income,49,88.6,56.4,0.6
7,p10_total.income,0,5.9,14,0
8,p25_total.income,11.4,12.7,24.8,0
9,p50_total.income,32.8,29,41.4,0
10,p75_total.income,58.6,78.4,65.3,0.3
11,p90_total.income,95.3,193.3,100.1,3
12,mean_SE.income,6.5,75,0.2,0.1
13,p10_SE.income,0,-6,0,0
14,p25_SE.income,0,10.2,0,0
15,p50_SE.income,0,23.1,0,0
16,p75_SE.income,0,64.1,0,0
17,p90_SE.income,2.9,167.8,0,0
18,mean_PE.income,42.6,13.6,56.2,0.5
19,p10_PE.income,0,0,14,0
20,p25_PE.income,5.2,0,24.8,0
21,p50_PE.income,30.1,0,41.4,0
22,p75_PE.income,55.3,1.4,65.2,0
23,p90_PE.income,88.2,29.2,99.6,2.6
24,p.edu,52.8,56.5,56.4,36.7
25,p.cog,52.4,59,55.3,37.8
26,p.int,58.6,56.8,62.5,43.7
27,p.man,37.6,39.2,37.1,39.1
28,NAICS_11,0.7,1.4,0.8,
29,NAICS_21,0.3,0.4,0.3,
30,NAICS_22,0.1,0.1,0.2,
31,NAICS_23,4.7,15.1,4.7,
32,NAICS_31,7.7,2.8,10.2,
33,NAICS_42,2.5,2.6,3.1,
34,NAICS_44,5.3,7.5,6.4,
35,NAICS_48,2.1,5.5,2.3,
36,NAICS_51,1,1.1,1.3,
37,NAICS_52,2.1,3.2,2.5,
38,NAICS_53,1.5,4.9,1.5,
39,NAICS_54,6,13.4,6.6,
40,NAICS_55,0.4,0.1,0.6,
41,NAICS_56,2.9,4.9,3.4,
42,NAICS_61,0.3,0.6,0.3,
43,NAICS_62,4,8.3,4.5,
44,NAICS_71,0.6,2.1,0.6,
45,NAICS_72,2.4,3.7,2.9,
46,NAICS_81,2.4,11.5,1.9,
47,NAICS_Other,9.1,3,12.1,
48,NAICS_NA,43.7,7.8,34,100
49,p.has.emp,3.2,32.9,0.4,0.7
50,mean_gross.prof,22.2,249,1.1,2.5
51,p.male,50.2,73,50.8,37
52,p.married,61.2,67.2,62.5,53
53,p.has.kids,50.6,58.9,53.2,36.1
54,mean_N.kids,1,1.1,1,0.7
55,p50_yob,1963,1962,1963,1964
56,mean_spouse.wage,26.7,21.7,25.2,35
57,mean_asset.inc,8.8,37.5,5.2,9.8
58,mean_ui,0.4,0.2,0.4,0.6
