Row,Label,Column1,Column2,Column3,Column4
0,variable,Totsamp,SE,PE,NE
1,N,1279.9,97.7,950.8,231.4
2,share_N,100,7.6,74.3,18.1
3,share_mean_total.income,100,13.3,86.5,0.2
4,share_mean_SE.income,100,95.4,4.4,0.2
5,share_mean_PE.income,100,0.8,98.9,0.2
6,mean_total.income,49,85.4,57.1,0.6
7,p10_total.income,0,5.5,14,0
8,p25_total.income,11.4,11.8,24.8,0
9,p50_total.income,32.8,26.4,41.5,0
10,p75_total.income,58.6,73.9,65.6,0.3
11,p90_total.income,95.3,190.3,100.9,3
12,mean_SE.income,6.5,80.9,0.4,0.1
13,p10_SE.income,0,5.4,0,0
14,p25_SE.income,0,11,0,0
15,p50_SE.income,0,25.1,0,0
16,p75_SE.income,0,69.8,0,0
17,p90_SE.income,2.9,180.8,0,0
18,mean_PE.income,42.6,4.6,56.7,0.5
19,p10_PE.income,0,0,14,0
20,p25_PE.income,5.2,0,24.8,0
21,p50_PE.income,30.1,0,41.5,0
22,p75_PE.income,55.3,0,65.3,0
23,p90_PE.income,88.2,7,100.1,2.6
24,p.edu,52.8,54.8,56.6,36.7
25,p.cog,52.4,58.3,55.4,37.8
26,p.int,58.6,55.4,62.6,43.7
27,p.man,37.6,40,37,39.1
28,NAICS_11,0.7,1.4,0.8,
29,NAICS_21,0.3,0.4,0.3,
30,NAICS_22,0.1,0.1,0.2,
31,NAICS_23,4.7,15.7,4.7,
32,NAICS_31,7.7,2.7,10.1,
33,NAICS_42,2.5,2.6,3.1,
34,NAICS_44,5.3,7.2,6.5,
35,NAICS_48,2.1,5.5,2.3,
36,NAICS_51,1,1.1,1.3,
37,NAICS_52,2.1,3.1,2.5,
38,NAICS_53,1.5,4.9,1.5,
39,NAICS_54,6,13.5,6.7,
40,NAICS_55,0.4,0.1,0.6,
41,NAICS_56,2.9,4.9,3.4,
42,NAICS_61,0.3,0.6,0.3,
43,NAICS_62,4,8.1,4.6,
44,NAICS_71,0.6,2.1,0.6,
45,NAICS_72,2.4,3.3,2.9,
46,NAICS_81,2.4,11.7,2,
47,NAICS_Other,9.1,3.1,12,
48,NAICS_NA,43.7,7.9,33.7,100
49,p.has.emp,3.2,31.1,0.9,0.7
50,mean_gross.prof,22.2,253.7,3.2,2.5
51,p.male,50.2,72.7,51.1,37
52,p.married,61.2,66,62.7,53
53,p.has.kids,50.6,58.7,53.3,36.1
54,mean_N.kids,1,1.1,1,0.7
55,p50_yob,1963,1962,1963,1964
56,mean_spouse.wage,26.7,21.6,25.2,35
57,mean_asset.inc,8.8,37,5.6,9.8
58,mean_ui,0.4,0.2,0.4,0.6
