Row,Label,Column1,Column2,Column3,Column4,Column5,Column6
0,Variables,SETOT,SENH,SEH,SW,PE,NE
1,N,2.8,1.2,1.6,3.4,47.2,26.6
2,mean_total.income,134.2,262.1,37.8,83.3,60,16.4
3,p10_total.income,15,54.3,11.8,14.8,21,1.6
4,p25_total.income,26.7,79.6,18.2,23.4,30.3,5
5,p50_total.income,56.6,144.9,30.3,41.7,45.3,10.8
6,p75_total.income,130.1,275.7,50.6,81.8,68,20
7,p90_total.income,291.3,528,84.6,164.8,102.5,33.5
8,mean_SE.income,117,230.4,31.6,32.4,0.6,2.1
9,p10_SE.income,12.3,43.1,9.6,-0.1,-0.1,0
10,p25_SE.income,22.1,66.4,15.2,4.5,0,0
11,p50_SE.income,47.5,124,25.8,11.3,0,0
12,p75_SE.income,112.3,242.8,43.8,29.7,0,0.6
13,p90_SE.income,256.9,469,74,73.2,1,4.6
14,mean_PE.income,17.2,31.8,6.3,50.9,59.4,14.2
15,p10_PE.income,0,0,0,8.8,21,0.6
16,p25_PE.income,0,0,0,15.1,30.3,3.5
17,p50_PE.income,2.6,6.1,1.5,27,45.1,9.3
18,p75_PE.income,11.6,24.3,6.5,50.2,67.5,18.3
19,p90_PE.income,35.2,68.6,16,93.5,101.3,30.9
20,share_count,3.4,1.5,1.9,4.3,59,33.3
21,share_mean_total.income,9.4,7.9,1.5,7.3,72.2,11.1
22,share_mean_SE.income,62.3,52.6,9.5,21.4,5.3,11
23,share_mean_PE.income,1.4,1.1,0.3,5.1,82.3,11.1
24,p.edu,62.4,73.4,54.2,63.6,59.7,38.4
25,p.cog,61.4,63.1,60.3,62.7,57.7,40.9
26,p.int,60.5,71.3,52.5,63.4,65.6,45.5
27,p.man,36,29.4,40.9,36.9,36.1,40.6
28,NAICS_11,1.8,2,1.6,1.2,0.9,1.3
29,NAICS_21,0.5,0.5,0.4,0.5,0.5,0.3
30,NAICS_22,0.1,0,0,0.1,0.3,0.1
31,NAICS_23,17.9,15.1,20.2,13.5,5.6,8.3
32,NAICS_31,3.6,4.5,2.9,6.2,14.2,8.4
33,NAICS_42,3.4,4.6,2.4,3.7,4,3
34,NAICS_44,8.1,9.1,7.5,8.6,8.3,10
35,NAICS_48,5.1,2.8,7,5.8,3.1,3.3
36,NAICS_51,1,0.9,1,1.6,1.8,1.3
37,NAICS_52,4.2,3.7,4.6,3.9,3.7,2.5
38,NAICS_53,5,4.6,5.4,4.1,1.8,2.7
39,NAICS_54,15.5,18.8,13,15.5,8.9,7.8
40,NAICS_55,0.1,0.1,0.1,0.2,0.9,0.4
41,NAICS_56,4.3,4.1,4.5,4.6,4,6.6
42,NAICS_61,0.4,0.4,0.4,0.6,0.5,0.6
43,NAICS_62,9.5,13.3,6.7,8.6,5.6,7.1
44,NAICS_71,1.9,1.5,2.3,1.7,0.8,1.2
45,NAICS_72,3.6,4.2,3.2,4.4,3.5,6.2
46,NAICS_81,11.1,8.6,13,8,2.2,5.5
47,NAICS_Other,0.7,0.3,0.6,5,17.1,10.1
48,NAICS_NA,2.3,1,3.3,2.1,12.2,13.3
49,p.ever.employer,63.9,82.4,50,47.9,4.7,8.2
50,mean_gross.prof,400.7,732.9,147.9,156.5,6.7,19
51,p.male,81.6,79.5,83.4,72.9,52.5,39.9
52,p.majority.married,78,81.8,75.4,70.3,66.8,56.1
53,p.has.kids,84.8,85.3,84.7,85.2,82.5,80.7
54,mean_N.kids,2.2,2.2,2.3,2.4,2.2,2.3
55,p50_yob,1960,1960,1960,1964,1963,1964
56,mean_spouse.wage,26.3,32.1,22,27.3,30.6,38
57,mean_asset.inc,56,90.8,29.6,21.4,4.6,9.5
58,mean_ui,0.1,0.1,0.1,0.4,0.4,0.5
