Row,Label,Column1,Column2,Column3,Column4,Column5,Column6
0,Variables,SETOT,SENH,SEH,SW,PE,NE
1,N,1.7,0.9,0.8,2.2,28.2,10.2
2,mean_total.income,191.3,329.8,50.1,112.7,75,23.9
3,p10_total.income,22.6,83,13.4,19.5,26.7,2
4,p25_total.income,46.2,121.4,26.6,33.4,38.3,6.9
5,p50_total.income,94.9,195.7,46.3,60.8,56.1,15.4
6,p75_total.income,200.4,346.8,73.3,115.5,83.9,28.6
7,p90_total.income,409.7,639.2,106.9,224,126.7,48.4
8,mean_SE.income,165.9,288.9,40.5,44.5,0.8,3.4
9,p10_SE.income,15.9,62.2,8.4,-2,-0.2,-0.1
10,p25_SE.income,35.8,99.3,20.2,5.3,0,0
11,p50_SE.income,79,169,38.1,17,0,0
12,p75_SE.income,174.4,306,63.4,45,0,0.5
13,p90_SE.income,362.7,570.8,95,104.6,1.5,6.5
14,mean_PE.income,25.4,40.9,9.6,68.2,74.2,20.5
15,p10_PE.income,0,0,0,12.4,26.7,0.9
16,p25_PE.income,0.1,0.3,0,21.3,38.2,5.1
17,p50_PE.income,5.3,9.6,3.3,37.8,55.8,13.3
18,p75_PE.income,19.5,34.1,11,67.8,83.1,25.8
19,p90_PE.income,53.8,90.2,24.9,123.6,124.8,43.4
20,share_count,4.1,2.1,2,5.2,66.6,24.2
21,share_mean_total.income,11.2,9.8,1.4,8.4,72.1,8.3
22,share_mean_SE.income,64.8,56.8,7.8,22,5.4,7.9
23,share_mean_PE.income,1.8,1.4,0.3,6,83.9,8.4
24,p.edu,100,100,100,100,100,100
25,p.cog,59.5,63.2,55.8,63.3,62.6,50.1
26,p.int,88.5,90,87.3,89.7,92.2,87.8
27,p.man,13.1,14.6,11.1,15.1,15.2,14
28,NAICS_11,1.3,1.3,1.2,0.7,0.3,0.3
29,NAICS_21,0.5,0.5,0.5,0.5,0.3,0.2
30,NAICS_22,0.1,0,0.1,0.1,0.2,0.1
31,NAICS_23,6.8,7.3,6.4,5.9,1.9,2.1
32,NAICS_31,4.2,4.9,3.5,6,11.2,5.4
33,NAICS_42,4.3,5.4,3.3,4.2,3.5,2.5
34,NAICS_44,8,8.1,8,7.8,5.7,5.8
35,NAICS_48,1.9,1.8,2.1,2.4,1.8,1.6
36,NAICS_51,1.5,1.2,1.9,2.4,2.7,2.7
37,NAICS_52,6.6,4.9,8.4,5.9,5.2,4.8
38,NAICS_53,7.5,5.7,9.3,5.5,1.9,3.4
39,NAICS_54,24.2,25.2,23.5,23.6,13.6,17
40,NAICS_55,0.2,0.2,0.1,0.3,1,0.5
41,NAICS_56,2.7,2.9,2.6,3.4,3.1,4
42,NAICS_61,0.6,0.5,0.7,1,0.8,1.5
43,NAICS_62,14,17.5,10.6,11.2,7,10.9
44,NAICS_71,2.9,1.9,3.9,2.3,0.9,1.8
45,NAICS_72,4.1,4.3,4,4,2.3,3.3
46,NAICS_81,6.5,5.4,7.7,5.6,1.5,3.1
47,NAICS_Other,0.5,0.3,0.4,5.9,22,15.7
48,NAICS_NA,1.4,0.8,2,1.3,13.2,13.4
49,p.ever.employer,76.1,86.8,65.2,56.7,5.5,11.2
50,mean_gross.prof,571.9,926.8,210.3,209.8,8.8,30.3
51,p.male,80,77.8,82.6,71.7,48.3,31.4
52,p.majority.married,82.1,83.2,81.3,75.7,72.1,69.1
53,p.has.kids,84.7,85.8,83.8,83.9,82.4,82
54,mean_N.kids,2.2,2.2,2.1,2.2,2.1,2.2
55,p50_yob,1960,1960,1960,1964,1964,1965
56,mean_spouse.wage,32.7,36.4,28.8,34,37,57.7
57,mean_asset.inc,83.4,116.6,49.6,33,6.4,17.6
58,mean_ui,0.1,0,0.1,0.3,0.3,0.4
