Row,Label,Column1,Column2,Column3,Column4,Column5,Column6
0,Variables,SETOT,SENH,SEH,SW,PE,NE
1,N,2.2,0.9,1.3,2.5,24.8,10.6
2,mean_total.income,144.1,287.6,41,94.4,72.5,20.8
3,p10_total.income,16.6,57.8,13.1,17.6,26.4,2.6
4,p25_total.income,28.7,88,20.1,27,36.8,6.7
5,p50_total.income,60.2,160.6,32.6,46.7,53.3,13.8
6,p75_total.income,139.9,302.5,55.4,92,79.8,24.7
7,p90_total.income,313,574.8,91.4,186.5,121.7,40.8
8,mean_SE.income,125.4,252.1,34.3,36.5,1,3.4
9,p10_SE.income,13.5,47.5,10.5,0.1,-0.4,-0.1
10,p25_SE.income,23.8,72.9,16.9,5.2,0,0
11,p50_SE.income,50.7,138.3,28,13.1,0,0
12,p75_SE.income,120.6,265.7,47.5,33.5,0.2,1.9
13,p90_SE.income,274.9,509.4,80.1,82.2,2.2,8.4
14,mean_PE.income,18.7,35.5,6.7,58,71.6,17.4
15,p10_PE.income,0,0,0,10.5,26.2,0.5
16,p25_PE.income,0,0,0,17.4,36.6,4
17,p50_PE.income,2.7,6.4,1.6,30.2,53,11.3
18,p75_PE.income,12.2,26.6,7,55.9,78.9,22
19,p90_PE.income,37.9,77.4,17.1,105.2,119.7,36.8
20,share_count,5.6,2.3,3.2,6.2,61.7,26.5
21,share_mean_total.income,12.6,10.5,2.1,9.2,69.7,8.6
22,share_mean_SE.income,65.1,54.6,10.3,21,5.5,8.4
23,share_mean_PE.income,2,1.6,0.4,6.8,82.7,8.6
24,p.edu,61.2,71.8,53.7,62.5,54.9,30.2
25,p.cog,66.6,67.6,66,70.4,71.3,61.2
26,p.int,58.9,68.9,51.8,61,57.5,35.2
27,p.man,41,34.5,45.7,43.1,50.7,64.9
28,NAICS_11,1.9,2.2,1.7,1.4,1.3,1.8
29,NAICS_21,0.5,0.6,0.4,0.6,0.8,0.5
30,NAICS_22,0.1,0,0.1,0.1,0.4,0.1
31,NAICS_23,20.6,17.2,23.2,16.7,9.1,17.1
32,NAICS_31,3.7,4.8,2.9,6.9,19.2,11.3
33,NAICS_42,3.4,4.8,2.5,4,5.1,3.7
34,NAICS_44,8,9,7.4,8.5,8.4,8.9
35,NAICS_48,5.9,3,8,7,4.5,5.8
36,NAICS_51,1,0.9,1,1.6,2,1.3
37,NAICS_52,4.5,3.7,5,4.1,2.8,1.7
38,NAICS_53,4.8,4.1,5.2,4,1.8,2.7
39,NAICS_54,15.2,18.5,12.9,15.8,9.3,7.5
40,NAICS_55,0.1,0.1,0.1,0.2,0.9,0.3
41,NAICS_56,4,4,4,4.1,4.2,7.2
42,NAICS_61,0.3,0.3,0.3,0.5,0.3,0.3
43,NAICS_62,8.3,12.2,5.6,6,1.9,2
44,NAICS_71,1.9,1.4,2.2,1.7,0.9,1.3
45,NAICS_72,3.5,3.9,3.1,4,3.1,5.4
46,NAICS_81,9.8,8,11.1,7.3,2.5,5.9
47,NAICS_Other,0.6,0.3,0.6,3.7,10.6,5.6
48,NAICS_NA,2.2,1,2.9,1.9,11.1,9.7
49,p.ever.employer,64.5,83.1,51.2,48.8,6.3,11.5
50,mean_gross.prof,425.1,791.9,157.9,169,9.6,27.2
51,p.male,100,100,100,100,100,100
52,p.majority.married,83.6,85.4,82.5,79.1,72.4,44.4
53,p.has.kids,86.4,86.9,86.1,86.5,82.9,73
54,mean_N.kids,2.3,2.3,2.3,2.4,2.3,2
55,p50_yob,1960,1960,1960,1963,1963,1964
56,mean_spouse.wage,22,24.2,20.4,23.4,23.9,17.9
57,mean_asset.inc,55.2,94.8,26.7,22.4,5,6.8
58,mean_ui,0.1,0.1,0.1,0.4,0.4,0.6
