Row,Label,Column1,Column2,Column3,Column4,Column5,Column6
0,Variables,SETOT,SENH,SEH,SW,PE,NE
1,N,1,0.2,0.8,1.8,45,24.4
2,mean_total.income,52,134.9,30,52,58.5,15.3
3,p10_total.income,12.2,41.4,11.4,13.3,20.9,1.6
4,p25_total.income,17.5,55.4,15.6,19.3,30.1,4.8
5,p50_total.income,28.9,84.1,23.5,31.5,44.9,10.5
6,p75_total.income,54,151.5,36.5,55.2,67.2,19.3
7,p90_total.income,105.1,260.4,57.6,100.8,100.5,31.9
8,mean_SE.income,45.3,116.9,26.4,17.7,0.4,1.1
9,p10_SE.income,10.7,34.1,10,1,-0.1,0
10,p25_SE.income,15.3,48.4,13.7,4,0,0
11,p50_SE.income,25.5,73.3,20.8,8.6,0,0
12,p75_SE.income,47.5,131.9,32.6,18.5,0,0.3
13,p90_SE.income,92.1,227.5,50.7,39.6,0.7,3
14,mean_PE.income,6.6,18,3.6,34.3,58.1,14.2
15,p10_PE.income,0,0,0,7.7,20.8,0.7
16,p25_PE.income,0,0,0,12.7,30.1,3.6
17,p50_PE.income,0.8,2.7,0.6,21.9,44.8,9.5
18,p75_PE.income,5.4,16.6,4.1,37.8,66.8,18.3
19,p90_PE.income,14.8,45.2,10.1,64.6,99.5,30.7
20,share_count,1.4,0.3,1.1,2.5,62.3,33.9
21,share_mean_total.income,1.6,0.9,0.7,2.9,83.5,11.9
22,share_mean_SE.income,36.8,19.8,16.8,25.8,15.2,22.2
23,share_mean_PE.income,0.2,0.1,0.1,2,86.3,11.5
24,p.edu,41.3,55,37.7,52.8,59.1,37.1
25,p.cog,53.5,50,54.6,58.7,57.3,39.7
26,p.int,40.2,54.2,36.4,53.7,65.2,44.4
27,p.man,49,36.9,52.1,45,36.2,41
28,NAICS_11,1.8,2.9,1.5,1.3,0.9,1.3
29,NAICS_21,0.4,0.8,0.3,0.5,0.5,0.3
30,NAICS_22,0,0,0,0.1,0.3,0.1
31,NAICS_23,20.8,13.2,22.9,13.8,5.5,7.8
32,NAICS_31,1.4,1.5,1.4,5.8,14.2,8.6
33,NAICS_42,2.1,3.4,1.8,3.2,3.9,3
34,NAICS_44,4.8,5.6,4.6,6.8,8.3,9.8
35,NAICS_48,8.4,4.6,9.5,7.6,3.1,3.2
36,NAICS_51,0.9,0.9,0.9,1.7,1.8,1.3
37,NAICS_52,3.6,3.9,3.5,3.5,3.7,2.4
38,NAICS_53,5.9,8.7,5.2,4.7,1.8,2.5
39,NAICS_54,12,16.8,10.8,14.3,8.8,7.5
40,NAICS_55,0.1,0.2,0,0.3,0.9,0.4
41,NAICS_56,5.8,5.9,5.8,5.4,4,6.8
42,NAICS_61,0.5,0.5,0.5,0.7,0.5,0.6
43,NAICS_62,6.1,10.4,4.9,7.1,5.6,7.1
44,NAICS_71,2.8,2.6,2.8,2,0.8,1.1
45,NAICS_72,1,0.9,1,2.7,3.5,6
46,NAICS_81,16,14,16.7,9.1,2.1,5.2
47,NAICS_Other,1,0.6,0.8,6.1,17.2,10.6
48,NAICS_NA,4.5,2.7,4.9,3.2,12.6,14.2
49,p.ever.employer,0,0,0,0,0,0
50,mean_gross.prof,96.8,212.4,66,61.2,4.6,9.2
51,p.male,80.2,76.4,81.5,71.7,51.6,38.5
52,p.majority.married,66.4,68.5,66.1,61.5,66.6,55.3
53,p.has.kids,80.2,75.7,81.6,83.2,82.3,80.6
54,mean_N.kids,2.2,1.9,2.3,2.4,2.2,2.3
55,p50_yob,1960,1959,1961,1964,1963,1964
56,mean_spouse.wage,18.5,23.3,17.2,22.5,30.7,37.9
57,mean_asset.inc,12.5,28,8.2,7.4,4.3,7.3
58,mean_ui,0.1,0.1,0.1,0.5,0.4,0.5
