Row,Label,Column1,Column2,Column3,Column4,Column5,Column6
0,Variables,SETOT,SENH,SEH,SW,PE,NE
1,N,1,0.3,0.7,1.2,19,16.4
2,mean_total.income,39.4,75.8,23.3,31.8,37.8,11.7
3,p10_total.income,12.6,38.5,11.3,12.4,17.5,1.4
4,p25_total.income,17.9,49.3,15.2,17.1,24.1,4.3
5,p50_total.income,28.9,63.2,21.8,25.7,34,9.1
6,p75_total.income,48.4,86.1,30.7,38.7,47.4,15.8
7,p90_total.income,77,121.1,39.4,56.3,62.6,24.5
8,mean_SE.income,35.7,69.2,21,11.3,0.2,1.3
9,p10_SE.income,11,31.3,9.9,1.1,0,0
10,p25_SE.income,15.7,43.1,13.4,3.8,0,0
11,p50_SE.income,25.6,57.9,19.3,7.6,0,0
12,p75_SE.income,43.8,80,27.8,14,0,0.6
13,p90_SE.income,71.2,114.1,36.5,24.8,0.5,3.9
14,mean_PE.income,3.7,6.6,2.3,20.5,37.6,10.4
15,p10_PE.income,0,0,0,6.5,17.4,0.4
16,p25_PE.income,0,0,0,10.4,24,2.8
17,p50_PE.income,0.7,1.9,0.5,16.8,33.9,7.7
18,p75_PE.income,4.2,8,3.1,26,47.2,14.6
19,p90_PE.income,10,18.2,7.2,37.9,62.3,23.1
20,share_count,2.7,0.8,1.9,3.3,50.4,43.5
21,share_mean_total.income,4.1,2.4,1.7,4,72.5,19.4
22,share_mean_SE.income,48.4,28.4,19.6,18.3,4.7,28.6
23,share_mean_PE.income,0.4,0.2,0.2,2.8,78.2,18.6
24,p.edu,0,0,0,0,0,0
25,p.cog,64.6,62.8,65.6,61.8,50.5,35.1
26,p.int,14.1,19.9,11.3,17.6,26.2,19.2
27,p.man,74.1,70.2,76.1,74.8,66.9,57.2
28,NAICS_11,2.6,3.9,2.1,2.1,1.9,1.9
29,NAICS_21,0.3,0.6,0.2,0.6,0.8,0.4
30,NAICS_22,0,0,0,0.1,0.3,0.1
31,NAICS_23,36.3,36.6,36.5,26.9,10.9,12.2
32,NAICS_31,2.5,3.5,2.1,6.5,18.6,10.2
33,NAICS_42,1.7,2.4,1.4,2.8,4.6,3.3
34,NAICS_44,8.3,11.9,6.8,9.9,12.3,12.7
35,NAICS_48,10.5,5.5,12.7,11.7,5.2,4.4
36,NAICS_51,0.1,0.1,0,0.2,0.5,0.4
37,NAICS_52,0.1,0.2,0.1,0.5,1.5,1
38,NAICS_53,1,1.4,0.7,1.8,1.8,2.2
39,NAICS_54,0.9,1.3,0.7,1.4,2,2
40,NAICS_55,0,0,0,0.1,0.7,0.3
41,NAICS_56,7,7.5,6.8,6.7,5.3,8.3
42,NAICS_61,0,0,0,0.1,0.1,0.1
43,NAICS_62,2,1.6,2.1,3.9,3.6,4.8
44,NAICS_71,0.4,0.4,0.4,0.6,0.7,0.8
45,NAICS_72,2.8,3.8,2.4,5,5.3,8
46,NAICS_81,18.6,17.4,19.4,12.1,3.2,7
47,NAICS_Other,0.8,0.3,0.8,3.4,9.9,6.7
48,NAICS_NA,3.8,1.4,4.8,3.5,10.8,13.3
49,p.ever.employer,43.7,70.3,32,32.5,3.4,6.4
50,mean_gross.prof,116.5,198.7,74.1,63.5,3.5,12
51,p.male,84.1,84,84.4,75.2,58.7,45.2
52,p.majority.married,71.2,78,68.4,61,59,48
53,p.has.kids,85,84,85.7,87.6,82.7,80
54,mean_N.kids,2.4,2.2,2.5,2.7,2.4,2.3
55,p50_yob,1961,1960,1961,1964,1962,1963
56,mean_spouse.wage,15.8,20,13.8,15.4,21.1,25.7
57,mean_asset.inc,10.4,19.7,6,1.3,2,4.5
58,mean_ui,0.1,0.1,0.1,0.5,0.5,0.5
