Row,Label,Column1,Column2,Column3,Column4,Column5,Column6
0,Variables,SETOT,SENH,SEH,SW,PE,NE
1,N,0.5,0.2,0.3,0.9,22.4,16
2,mean_total.income,90.3,163.7,21.8,53.1,46.2,13.4
3,p10_total.income,11.7,40.6,9.3,11.7,17.9,1.2
4,p25_total.income,18.6,62.1,12.8,16.4,25.3,4.1
5,p50_total.income,43.2,96.4,19.2,29.4,37.5,9.3
6,p75_total.income,93.2,171.7,33.4,57.3,55.3,16.9
7,p90_total.income,197.6,324.4,48.2,108.3,79.4,28.2
8,mean_SE.income,79.8,146.3,17.8,21.4,0.2,1.3
9,p10_SE.income,9.8,30.7,7.7,-0.5,0,0
10,p25_SE.income,15.3,50.2,11,3.2,0,0
11,p50_SE.income,35.5,83.3,16.3,7.7,0,0
12,p75_SE.income,80.6,152.9,28.1,20.2,0,0
13,p90_SE.income,177,295.9,42.3,49.6,0.1,2.3
14,mean_PE.income,10.5,17.4,4,31.7,46.1,12.2
15,p10_PE.income,0,0,0,6.6,17.8,0.6
16,p25_PE.income,0,0.2,0,10.7,25.3,3.2
17,p50_PE.income,2.3,5.2,1.2,19.3,37.4,8.4
18,p75_PE.income,9.2,17.7,4.4,36.1,55.2,16
19,p90_PE.income,25.5,42.7,10.7,63.3,79.1,26.6
20,share_count,1.3,0.6,0.6,2.3,56.2,40.2
21,share_mean_total.income,3.4,2.9,0.4,3.7,77,16
22,share_mean_SE.income,48.3,42.2,5.5,23.6,4.3,23.9
23,share_mean_PE.income,0.4,0.3,0.1,2.3,81.8,15.5
24,p.edu,67.6,79.3,57,66.6,65,43.8
25,p.cog,38.4,45.4,31.5,42.2,42.7,27.4
26,p.int,67.8,80.8,56.1,70,74.5,52.4
27,p.man,13.8,9.6,16.7,19.9,19.8,24.5
28,NAICS_11,1.2,1.3,1.1,0.9,0.6,1
29,NAICS_21,0.4,0.4,0.3,0.3,0.2,0.2
30,NAICS_22,0.1,0,0,0.1,0.1,0.1
31,NAICS_23,6,7,5.1,5,1.6,2.5
32,NAICS_31,3.3,3.7,2.9,4.3,8.6,6.4
33,NAICS_42,3,3.8,2.2,2.8,2.7,2.6
34,NAICS_44,8.6,9.4,8,8.8,8.3,10.7
35,NAICS_48,1.8,1.8,1.8,2.4,1.7,1.6
36,NAICS_51,1.1,0.9,1.1,1.5,1.6,1.3
37,NAICS_52,3,3.7,2.3,3.5,4.7,2.9
38,NAICS_53,6.2,6.3,6.1,4.6,1.8,2.7
39,NAICS_54,16.7,20,13.9,14.9,8.5,8
40,NAICS_55,0.2,0.1,0.1,0.3,0.9,0.4
41,NAICS_56,5.8,4.4,7.3,5.9,3.8,6.3
42,NAICS_61,0.8,0.8,0.9,1,0.7,0.9
43,NAICS_62,14.6,17.5,12.2,15.5,9.8,10.5
44,NAICS_71,2.3,1.8,2.7,1.8,0.7,1.1
45,NAICS_72,4.5,5.3,3.7,5.4,4,6.7
46,NAICS_81,16.7,10.8,22.6,9.9,1.8,5.2
47,NAICS_Other,0.8,0.2,0.7,8.7,24.3,13.1
48,NAICS_NA,3,0.8,4.9,2.6,13.5,15.8
49,p.ever.employer,61.2,79.7,44,45.5,2.9,6.1
50,mean_gross.prof,292.8,504.4,97.5,122.8,3.5,13.6
51,p.male,0,0,0,0,0,0
52,p.majority.married,53.1,67.7,39.6,46.7,60.7,63.9
53,p.has.kids,77.7,79,77.3,81.9,82.1,85.9
54,mean_N.kids,2,1.8,2.1,2.3,2.1,2.4
55,p50_yob,1960,1960,1961,1964,1963,1964
56,mean_spouse.wage,45.5,62.4,30,37.8,38,51.3
57,mean_asset.inc,59.4,75.3,44.3,18.8,4.1,11.4
58,mean_ui,0.1,0.1,0.1,0.3,0.3,0.4
