Row,Label,Column1,Column2,Column3,Column4
0,variable,Totsamp,SE,PE,NE
1,N,676.3,60.8,530.5,85
2,share_N,100,9,78.4,12.6
3,share_mean_total.income,100,17.5,82.4,0.1
4,share_mean_SE.income,100,97.5,2.5,0.1
5,share_mean_PE.income,100,3.3,96.6,0.1
6,mean_total.income,69.3,134.7,72.9,0.6
7,p10_total.income,0,1,18.6,0
8,p25_total.income,21.5,17.2,33.2,0
9,p50_total.income,46.8,52.9,53,0
10,p75_total.income,78.4,133.4,82.2,0.3
11,p90_total.income,127.6,302.7,126.2,3
12,mean_SE.income,10.4,113,0.3,0.1
13,p10_SE.income,0,-10.6,0,0
14,p25_SE.income,0,12,0,0
15,p50_SE.income,0,38.8,0,0
16,p75_SE.income,0,110.9,0,0
17,p90_SE.income,4.7,266.6,0,0
18,mean_PE.income,58.9,21.7,72.5,0.5
19,p10_PE.income,0,0,18.7,0
20,p25_PE.income,14.6,0,33.3,0
21,p50_PE.income,43.1,0,53,0
22,p75_PE.income,72.9,5.8,81.9,0
23,p90_PE.income,114.4,52.4,125.3,2.6
24,p.edu,100,100,100,100
25,p.cog,59.5,59.3,61.2,48.8
26,p.int,90.9,88.2,91.8,87.1
27,p.man,14.8,14.5,15.1,13.1
28,NAICS_11,0.3,0.9,0.2,
29,NAICS_21,0.2,0.5,0.2,
30,NAICS_22,0.1,0.1,0.1,
31,NAICS_23,1.9,6.1,1.7,
32,NAICS_31,6.6,3.3,8,
33,NAICS_42,2.5,3.4,2.8,
34,NAICS_44,4.1,7.7,4.3,
35,NAICS_48,1.2,2.2,1.3,
36,NAICS_51,1.7,1.8,1.9,
37,NAICS_52,3.2,5.3,3.5,
38,NAICS_53,1.8,7.3,1.4,
39,NAICS_54,9.7,22.4,9.8,
40,NAICS_55,0.5,0.2,0.7,
41,NAICS_56,2.3,3.3,2.6,
42,NAICS_61,0.5,1,0.5,
43,NAICS_62,5.5,11.4,5.7,
44,NAICS_71,0.8,3.3,0.6,
45,NAICS_72,1.7,4.1,1.7,
46,NAICS_81,1.6,7.3,1.2,
47,NAICS_Other,12.7,2.1,15.9,
48,NAICS_NA,41.1,6.3,35.6,100
49,p.has.emp,4.5,44,0.5,1.1
50,mean_gross.prof,35.3,377,1.4,3
51,p.male,46.7,71.9,46.6,29
52,p.married,68.7,73.8,68.5,65.9
53,p.has.kids,54.5,58.8,55.4,45.6
54,mean_N.kids,1,1.2,1,0.9
55,p50_yob,1964,1962,1964,1964
56,mean_spouse.wage,34.6,29,31.9,55.9
57,mean_asset.inc,13.6,59.7,7.5,18.9
58,mean_ui,0.3,0.2,0.3,0.6
