Row,Label,Column1,Column2,Column3,Column4
0,variable,Totsamp,SE,PE,NE
1,N,642.1,78.6,478,85.6
2,share_N,100,12.2,74.4,13.3
3,share_mean_total.income,100,19.3,80.5,0.1
4,share_mean_SE.income,100,97.1,2.8,0.2
5,share_mean_PE.income,100,3.6,96.3,0.1
6,mean_total.income,64.2,101.5,69.5,0.6
7,p10_total.income,0,6.2,18.3,0
8,p25_total.income,18.6,14.1,31.5,0
9,p50_total.income,42.4,33.8,50,0
10,p75_total.income,72.1,90.2,77.5,0.3
11,p90_total.income,118.2,221.7,119.5,3
12,mean_SE.income,10.8,85.7,0.4,0.1
13,p10_SE.income,0,-5.5,0,0
14,p25_SE.income,0,11.3,0,0
15,p50_SE.income,0,27,0,0
16,p75_SE.income,0,73.9,0,0
17,p90_SE.income,12.6,192.1,0,0
18,mean_PE.income,53.4,15.8,69.1,0.5
19,p10_PE.income,0,0,18.4,0
20,p25_PE.income,8.3,0,31.6,0
21,p50_PE.income,38.3,0,49.9,0
22,p75_PE.income,66.5,1,77.1,0
23,p90_PE.income,105.6,33.7,118.5,2.2
24,p.edu,49.2,55.7,51.8,28.8
25,p.cog,68.3,67.7,70.1,59.2
26,p.int,51.9,54.8,54.6,34.1
27,p.man,53.5,46.4,52.6,65.1
28,NAICS_11,1,1.6,1,
29,NAICS_21,0.5,0.4,0.5,
30,NAICS_22,0.2,0.1,0.3,
31,NAICS_23,8.1,18.8,7.8,
32,NAICS_31,10.7,2.9,13.9,
33,NAICS_42,3.3,2.8,4,
34,NAICS_44,5.7,7.3,6.5,
35,NAICS_48,3.3,6.7,3.3,
36,NAICS_51,1.2,1.1,1.4,
37,NAICS_52,1.8,3.5,1.8,
38,NAICS_53,1.7,4.6,1.5,
39,NAICS_54,6.7,13.6,6.7,
40,NAICS_55,0.5,0.1,0.6,
41,NAICS_56,3.2,4.2,3.6,
42,NAICS_61,0.2,0.5,0.2,
43,NAICS_62,1.8,6.2,1.5,
44,NAICS_71,0.7,2.1,0.6,
45,NAICS_72,2.3,3.4,2.5,
46,NAICS_81,2.8,10.1,2.1,
47,NAICS_Other,5.8,2.8,7.3,
48,NAICS_NA,38.6,7,32.8,100
49,p.has.emp,4.7,34,0.5,1.2
50,mean_gross.prof,36.4,281.8,1.7,5.1
51,p.male,100,100,100,100
52,p.married,63.2,75.9,66.3,33.9
53,p.has.kids,48.8,59,52.3,19.6
54,mean_N.kids,0.9,1.2,1,0.4
55,p50_yob,1963,1961,1964,1963
56,mean_spouse.wage,17.7,18.6,18.6,11.9
57,mean_asset.inc,9.4,37,5.7,4.6
58,mean_ui,0.5,0.2,0.4,0.8
