Row,Label,Column1,Column2,Column3,Column4
0,variable,Totsamp,SE,PE,NE
1,N,603.5,46.8,410.4,146.3
2,share_N,100,7.7,68,24.2
3,share_mean_total.income,100,8.4,91,0.6
4,share_mean_SE.income,100,97,2,1
5,share_mean_PE.income,100,1,98.5,0.5
6,mean_total.income,26.3,28.6,35.2,0.6
7,p10_total.income,0,6.4,11.3,0
8,p25_total.income,5.3,10.6,19.1,0
9,p50_total.income,22.1,17.9,30.8,0
10,p75_total.income,39.4,34.7,46,0.2
11,p90_total.income,58,63.6,63.3,3
12,mean_SE.income,2,25.4,0.1,0.1
13,p10_SE.income,0,5.7,0,0
14,p25_SE.income,0,9.6,0,0
15,p50_SE.income,0,15.9,0,0
16,p75_SE.income,0,30.8,0,0
17,p90_SE.income,1.4,57.6,0,0
18,mean_PE.income,24.3,3.2,35.1,0.5
19,p10_PE.income,0,0,11.3,0
20,p25_PE.income,0.2,0,19.2,0
21,p50_PE.income,20.1,0,30.9,0
22,p75_PE.income,38,0,45.9,0
23,p90_PE.income,56.2,7.7,63.1,2.6
24,p.edu,0,0,0,0
25,p.cog,44.6,58.5,47.7,31.4
26,p.int,22.5,15.9,24.8,18.4
27,p.man,63.2,71.3,65.5,54.1
28,NAICS_11,1.1,2,1.4,
29,NAICS_21,0.4,0.3,0.5,
30,NAICS_22,0.1,0.1,0.2,
31,NAICS_23,7.9,26.9,8.5,
32,NAICS_31,8.9,2.1,12.9,
33,NAICS_42,2.5,1.6,3.5,
34,NAICS_44,6.7,7.2,9.1,
35,NAICS_48,3.2,9.8,3.6,
36,NAICS_51,0.3,0.2,0.5,
37,NAICS_52,0.8,0.4,1.1,
38,NAICS_53,1.2,1.9,1.5,
39,NAICS_54,1.8,1.6,2.4,
40,NAICS_55,0.3,0,0.5,
41,NAICS_56,3.6,6.9,4.5,
42,NAICS_61,0.1,0.1,0.1,
43,NAICS_62,2.4,4.2,3.1,
44,NAICS_71,0.4,0.7,0.6,
45,NAICS_72,3.2,3,4.4,
46,NAICS_81,3.2,17.1,2.8,
47,NAICS_Other,5.1,4.2,7.1,
48,NAICS_NA,46.7,9.7,31.9,100
49,p.has.emp,1.8,18.6,0.3,0.5
50,mean_gross.prof,7.4,82.5,0.7,2.2
51,p.male,54.1,74.4,56.2,41.7
52,p.married,52.8,58.5,54.8,45.4
53,p.has.kids,46.2,59.2,50.4,30.5
54,mean_N.kids,0.9,1.1,0.9,0.6
55,p50_yob,1963,1962,1962,1963
56,mean_spouse.wage,17.8,12.1,16.7,22.9
57,mean_asset.inc,3.3,8.6,2.3,4.5
58,mean_ui,0.5,0.2,0.5,0.6
