Row,Label,Column1,Column2,Column3,Column4
0,variable,Totsamp,SE,PE,NE
1,N,637.7,29,462.9,145.7
2,share_N,100,4.6,72.6,22.9
3,share_mean_total.income,100,7.2,92.3,0.4
4,share_mean_SE.income,100,99,0.5,0.4
5,share_mean_PE.income,100,1.1,98.5,0.4
6,mean_total.income,33.8,53.6,43,0.6
7,p10_total.income,0,5.2,11.7,0
8,p25_total.income,6.5,10.3,20.2,0
9,p50_total.income,24.8,18.4,33.8,0
10,p75_total.income,45.7,51.2,52.9,0.3
11,p90_total.income,71.5,120.5,78.3,3
12,mean_SE.income,2.1,45.8,0,0
13,p10_SE.income,0,-7,0,0
14,p25_SE.income,0,8.8,0,0
15,p50_SE.income,0,15.4,0,0
16,p75_SE.income,0,41,0,0
17,p90_SE.income,0,105.2,0,0
18,mean_PE.income,31.7,7.8,43,0.6
19,p10_PE.income,0,0,11.7,0
20,p25_PE.income,3.6,0,20.2,0
21,p50_PE.income,23.8,0,33.9,0
22,p75_PE.income,44.6,2.1,52.9,0.1
23,p90_PE.income,69.4,20.1,78.2,2.8
24,p.edu,56.5,58.9,61.1,41.4
25,p.cog,36.5,35.3,40.1,25.2
26,p.int,65.4,62.2,70.7,49.3
27,p.man,21.6,19.8,21.1,23.7
28,NAICS_11,0.4,1,0.5,
29,NAICS_21,0.1,0.4,0.1,
30,NAICS_22,0.1,0.1,0.1,
31,NAICS_23,1.2,5.2,1.4,
32,NAICS_31,4.7,2.3,6.3,
33,NAICS_42,1.7,2.2,2.1,
34,NAICS_44,5,7.9,6.3,
35,NAICS_48,1,2.2,1.3,
36,NAICS_51,0.9,1.1,1.1,
37,NAICS_52,2.4,2.3,3.1,
38,NAICS_53,1.3,5.8,1.5,
39,NAICS_54,5.3,12.7,6.5,
40,NAICS_55,0.4,0.1,0.6,
41,NAICS_56,2.7,6.6,3.3,
42,NAICS_61,0.4,1,0.5,
43,NAICS_62,6.2,13.8,7.7,
44,NAICS_71,0.5,2.3,0.5,
45,NAICS_72,2.6,4.2,3.3,
46,NAICS_81,1.9,15.4,1.7,
47,NAICS_Other,12.5,3.5,17,
48,NAICS_NA,48.8,9.9,35.1,100
49,p.has.emp,1.7,30,0.3,0.5
50,mean_gross.prof,7.8,160.1,0.4,1
51,p.male,0,0,0,0
52,p.married,59.2,43.8,58.6,64.2
53,p.has.kids,52.4,58.8,54.1,45.7
54,mean_N.kids,1,1.1,1,0.9
55,p50_yob,1963,1963,1963,1964
56,mean_spouse.wage,35.8,30,32.1,48.6
57,mean_asset.inc,8.1,38.8,4.7,12.8
58,mean_ui,0.3,0.2,0.3,0.4
