Row,Label,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
0,age,entry,entry.PE2ESE,entry.NE2ESE,entry.SE2ESE,exit,exit.ESE2PE,exit.ESE2NE,exit.ESE2SE,entry_fit,entry.PE2ESE_fit,entry.NE2ESE_fit,entry.SE2ESE_fit,exit_fit,exit.ESE2PE_fit,exit.ESE2NE_fit,exit.ESE2SE_fit
1,26,0.1,0.06,-0.01,4993.49,42.34,22.81,8.15,11.38,0.09,0.06,-0.02,1685.19,42.1,22.68,7.99,11.43
2,27,0.15,0.1,0.03,37.28,40.82,21.82,7.84,11.15,0.16,0.12,0.03,1382.81,40.11,21.34,7.62,11.15
3,28,0.22,0.16,0.09,22.53,38.8,20.22,7.41,11.17,0.23,0.16,0.08,1111.15,38.23,20.09,7.26,10.87
4,29,0.28,0.21,0.13,15.42,36.58,18.79,7,10.78,0.29,0.21,0.13,868.77,36.45,18.92,6.93,10.6
5,30,0.34,0.25,0.18,11.48,34.53,17.68,6.54,10.31,0.35,0.25,0.18,654.27,34.77,17.84,6.6,10.33
6,31,0.38,0.27,0.23,8.62,32.85,16.75,6.08,10.02,0.4,0.28,0.22,466.22,33.2,16.84,6.3,10.06
7,32,0.44,0.31,0.26,5.89,31.39,15.82,5.9,9.67,0.45,0.32,0.27,303.2,31.72,15.91,6,9.81
8,33,0.5,0.35,0.32,4.03,29.84,14.86,5.52,9.46,0.49,0.35,0.32,163.78,30.34,15.05,5.73,9.56
9,34,0.54,0.38,0.36,2.71,28.48,13.99,5.26,9.23,0.53,0.37,0.37,46.54,29.05,14.27,5.47,9.31
10,35,0.59,0.41,0.41,1.87,27.23,13.2,5.04,8.99,0.57,0.39,0.41,-49.95,27.86,13.55,5.23,9.08
11,36,0.61,0.42,0.45,1.14,26.21,12.65,4.85,8.72,0.6,0.41,0.46,-127.1,26.75,12.89,5.01,8.85
12,37,0.64,0.44,0.5,0.64,25.26,12.13,4.64,8.48,0.63,0.43,0.5,-186.34,25.72,12.29,4.8,8.63
13,38,0.67,0.45,0.54,0.06,24.42,11.6,4.49,8.33,0.66,0.44,0.54,-229.09,24.78,11.75,4.61,8.42
