Row,Label,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
1,2001,0.73,0.5,0.77,44.76,27.04,13.63,5.37,8.04,0.74,0.51,0.74,89.36,25.34,12.34,4.99,8
2,2002,0.73,0.5,0.74,128.17,23.76,10.65,4.92,8.19,0.73,0.49,0.74,99.89,25.45,12.23,5.13,8.08
3,2003,0.65,0.41,0.66,128.88,24.53,11.06,5.39,8.08,0.71,0.48,0.74,109.16,25.49,12.11,5.24,8.15
4,2004,0.7,0.44,0.72,129.68,24.45,11.15,5.03,8.27,0.7,0.46,0.73,117.17,25.47,11.96,5.32,8.2
5,2005,0.73,0.47,0.71,130.28,27.83,14.88,5.16,7.79,0.68,0.44,0.72,123.94,25.39,11.79,5.37,8.23
6,2006,0.81,0.58,0.76,130.46,24.72,11.58,5.11,8.03,0.67,0.43,0.71,129.45,25.24,11.6,5.39,8.25
7,2007,0.67,0.42,0.72,130.69,24.22,10.92,5.1,8.19,0.65,0.41,0.68,133.71,25.02,11.4,5.38,8.25
8,2008,0.61,0.37,0.67,130.77,24.91,10.96,5.49,8.47,0.63,0.39,0.66,136.71,24.74,11.17,5.35,8.23
9,2009,0.53,0.31,0.62,130.75,25.59,10.78,5.81,9.01,0.61,0.37,0.63,138.47,24.4,10.92,5.28,8.19
10,2010,0.52,0.3,0.55,131.05,25.65,11.47,5.74,8.44,0.59,0.36,0.59,138.97,23.98,10.66,5.19,8.14
11,2011,0.59,0.36,0.59,131.5,22.53,9.7,5.03,7.8,0.57,0.34,0.55,138.22,23.51,10.37,5.06,8.07
12,2012,0.51,0.29,0.47,131.7,21.77,9.54,4.67,7.56,0.54,0.32,0.5,136.21,22.96,10.06,4.91,7.99
13,2013,0.49,0.28,0.41,131.91,21.95,9.83,4.58,7.55,0.52,0.3,0.45,132.95,22.35,9.74,4.73,7.89
14,2014,0.55,0.33,0.42,132.46,20.95,9.08,4.41,7.46,0.49,0.28,0.39,128.44,21.68,9.39,4.52,7.77
15,2015,0.47,0.27,0.35,132.26,22.07,9.58,4.33,8.16,0.46,0.26,0.33,122.68,20.94,9.03,4.28,7.63
